347	303	2506	121
321	548	2535	103
312	671	2539	96
315	799	2548	102
318	919	2544	93
319	1041	2505	100
571	1172	2292	97
317	1293	2546	105
315	1424	2543	98
313	1542	2551	102
319	1666	2544	103
321	1794	2539	101
311	1920	1943	92
570	2066	2292	94
316	2195	2544	99
314	2321	2545	95
321	2451	465	89
568	2561	2297	99
313	2686	2553	109
311	2811	2554	108
308	2939	2558	99
313	3067	2551	98
315	3194	2549	95
316	3318	1233	104
563	3442	2304	94
316	3554	2553	98
355	3716	982	113
368	3860	224	93
367	3976	1296	95
462	4102	2307	101
358	4227	2515	105
465	4345	1680	113
459	4452	851	84
